MLinkID,USNode,DSNode,LinkReach,ReachElement
59105,ABR770,ABR655,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.1.1.1.2.1.1.2.1.2.2.2.1.1,3
16520,ABR706,ABR680,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1.1.1,2
59107,ABR781,ABR681,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.1.1,2
16521,ABR708,ABR706,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1.1.1,3
16523,ABR709,ABR708,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1.1.1.1,1
16522,ABR707,ABR708,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1.1.1.2,1
16491,ABR680,ABR715,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1.1.1,1
16433,ABR755,ABR715,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1.1.2,1
11838006,ABR715,ABR721,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1.1,1
16431,ABR762,ABR721,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1.2,1
16443,ABR723,ABR722,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2.2,2
59110,ABR801,ABR724,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.1,1
16441,ABR725,ABR724,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2,1
59093,ABR656,ABR725,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.1,1
16442,ABR726,ABR725,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2,1
11838005,ABR721,ABR726,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.1,1
16430,ABR766,ABR726,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1.2.2.2,1
16448,ABR728,ABR727,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2.1.2,3
16449,ABR729,ABR728,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2.1.2,4
16445,ABR731,ABR730,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2.1,1
16444,ABR722,ABR730,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2.2,1
16450,ABR733,ABR731,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2.1.1,1
16446,ABR732,ABR731,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2.1.2,1
16447,ABR727,ABR732,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2.1.2,2
16451,ABR734,ABR733,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2.1.1,2
16452,ABR735,ABR734,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.2.1.1,3
16440,ABR724,ABR737,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.1,1
16439,ABR736,ABR737,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.2,1
16437,ABR738,ABR737,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.3,1
16438,ABR774,ABR738,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.2.2.1.1.2.2.3,2
59101,ABR741,ABR740,3.2.2.2.2.1.2.2.2.2.3.2.1.1.2.2.1.1.1.1.2.1.2.1.2.1.1.1.1.1.1.2.1.2.1.2.1.2.1.2.1,1
