MLinkID,USNode,DSNode,LinkReach,ReachElement
18069,ABU898,ABU899,3.2.1.2.1.2.1,1
18060,ABU900,ABU899,3.2.1.2.1.2.2,1
18059,ABU910,ABU909,3.2.1.2.1.1,1
18058,ABU899,ABU909,3.2.1.2.1.2,1
18057,ABU902,ABU911,3.2.1.2.2,3
18025,ABU913,ABU914,4.2,7
18026,ABU914,ABU920,4.2,6
18068,ABU911,ABU922,3.2.1.2.2,2
18045,ABU927,ABU925,2,3
18047,ABU926,ABU927,2.1,1
18044,ABU928,ABU927,2.2,1
49148,002SPL,ABU928,2.2,2
18046,ABU925,ABU937,2,2
18024,ABU944,ABU945,5.1.1,1
18023,ABU954,ABU945,5.1.2,1
18036,ABU909,ABU946,3.2.1.2.1,2
18035,ABU946,ABU953,3.2.1.2.1,1
18034,ABU922,ABU953,3.2.1.2.2,1
18021,ABU958,ABU955,5.1,1
18016,ABU961,ABU955,5.2,1
18022,ABU955,ABU956,5,1
18020,ABU945,ABU958,5.1,2
18019,ABU958,ABU959,5.2.1,2
18018,ABU959,ABU961,5.2.1,1
18017,ABU960,ABU961,5.2.2,1
18041,ABU966,ABU965,4,1
58489,ABU972,ABU966,4.1,1
18040,ABU967,ABU966,4.2,1
18028,ABU879,ABU966,4.3,1
18039,ABU968,ABU967,4.2,2
18038,ABU969,ABU968,4.2,3
18037,ABU970,ABU969,4.2,4
18027,ABU920,ABU970,4.2,5
18219,ABU989,ABU976,3,1
18193,ABU978,ABU980,3.2.1.1.1.1.1.1,1
18192,ABU999,ABU980,3.2.1.1.1.1.1.2,1
18191,ABU979,ABU980,3.2.1.1.1.1.1.3,1
18190,ABU980,ABU981,3.2.1.1.1.1.1,1
18189,ABV110,ABU981,3.2.1.1.1.1.2,1
18188,ABU981,ABU982,3.2.1.1.1.1,2
18184,ABV042,ABU983,3.2.1.1.2,3
18187,ABU982,ABU984,3.2.1.1.1.1,1
18186,ABV111,ABU984,3.2.1.1.1.2,1
18183,ABU983,ABU985,3.2.1.1.2,2
18185,ABU984,ABU988,3.2.1.1.1,1
18182,ABU985,ABU988,3.2.1.1.2,1
18220,ABU993,ABU989,3.1,1
18096,ABV136,ABU989,3.2,1
18222,ABU991,ABU992,3.1.2,2
18223,ABV118,ABU993,3.1.1,1
18221,ABU992,ABU993,3.1.2,1
18225,ABV114,ABU994,3.1.1,4
18198,ABV121,ABV001,3.2.2.1.1,2
18197,ABV001,ABV002,3.2.2.1.1,1
18196,ABV123,ABV002,3.2.2.1.2,1
18195,ABV002,ABV003,3.2.2.1,4
18194,ABV003,ABV005,3.2.2.1,3
18201,ABV014,ABV015,3.2.2.2.1.1,2
18200,ABV015,ABV017,3.2.2.2.1.1,1
18199,ABV104,ABV017,3.2.2.2.1.2,1
18206,ABV027,ABV028,3.2.2.2.2.2.1.1,1
18205,ABV103,ABV028,3.2.2.2.2.2.1.2,1
18204,ABV106,ABV028,3.2.2.2.2.2.1.3,1
18203,ABV028,ABV030,3.2.2.2.2.2.1,1
18202,ABV107,ABV030,3.2.2.2.2.2.2,1
18207,ABV040,ABV041,3.2.2.2.2.1.1.2.1,2
58485,ABZ002,ABV045,3.2.2.2.2.1.2,2
18208,ABV056,ABV058,3.2.2.2.2.1.1.2.2,3
18226,001SPL,ABV114,3.1.1,5
18227,ABU994,ABV115,3.1.1,3
18224,ABV115,ABV118,3.1.1,2
18095,ABV144,ABV136,3.2.1,1
18094,ABV143,ABV136,3.2.2,1
59137,ABV139,ABV137,3.2.2.2.2.1.1.1,1
18083,ABV148,ABV137,3.2.2.2.2.1.1.2,1
58487,ABV137,ABV138,3.2.2.2.2.1.1,1
58486,ABV045,ABV138,3.2.2.2.2.1.2,1
58488,ABV138,ABV140,3.2.2.2.2.1,1
18087,ABV147,ABV140,3.2.2.2.2.2,1
18093,ABV005,ABV141,3.2.2.1,2
18090,ABV017,ABV142,3.2.2.2.1,1
18088,ABV140,ABV142,3.2.2.2.2,1
18092,ABV141,ABV143,3.2.2.1,1
18091,ABV142,ABV143,3.2.2.2,1
18097,ABV146,ABV144,3.2.1,2
59135,ABU988,ABV146,3.2.1.1,1
49150,ABU953,ABV146,3.2.1.2,1
18089,ABV030,ABV147,3.2.2.2.2.2,2
18086,ABV041,ABV148,3.2.2.2.2.1.1.2.1,1
18085,ABV149,ABV148,3.2.2.2.2.1.1.2.2,1
18084,ABV058,ABV149,3.2.2.2.2.1.1.2.2,2
59189,ABY894,ABY841,1,1
49143,ABU937,ABY844,2,1
37302,ABZ000,ABY860,3.2.2.2.2.1.2.1,5
37304,ABY860,ABY862,3.2.2.2.2.1.2.1,4
37305,ABY862,ABY863,3.2.2.2.2.1.2.1,3
37306,ABY863,ABY866,3.2.2.2.2.1.2.1,2
37192,ABY895,ABY894,1,2
37193,ABY896,ABY895,1,3
37194,ABY897,ABY896,1,4
59191,003SPL,ABY897,1.1,1
37195,ABY891,ABY897,1.2,1
37156,ABZ031,ABY905,3.2.2.2.2.1.2.2,2
37303,ABY880,ABZ000,3.2.2.2.2.1.2.1,6
37307,ABY866,ABZ002,3.2.2.2.2.1.2.1,1
37155,ABY905,ABZ002,3.2.2.2.2.1.2.2,1
37157,ABY919,ABZ031,3.2.2.2.2.1.2.2,3
