MLinkID,USNode,DSNode,LinkReach,ReachElement
48258,AAT715,AAQ252,4,1
3647,AAQ396,AAQ356,3.2.2.1.2.1.1.2.2.1.1,2
3701,AAQ368,AAQ369,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.2.2.2,3
3594,AAQ371,AAQ370,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.1.1,4
3705,AAQ372,AAQ371,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.1.1,5
3652,AAQ374,AAQ375,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.1,5
3642,AAQ367,AAQ397,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.2.2.1.2,3
3636,AAQ369,AAQ398,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.2.2.2,2
3638,AAQ370,AAQ399,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.1.1,3
3637,AAQ399,AAQ400,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.1.1,2
3651,AAQ375,AAQ401,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.1,4
3650,AAQ401,AAQ402,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.1,3
3657,AAQ403,AAQ404,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.2.2,3
3656,AAQ404,AAQ405,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.2.2,2
48265,AAQ584,AAQ406,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.2.1,1
3655,AAQ405,AAQ406,3.2.2.1.2.1.1.2.2.3.2.1.3.3.1.2.2,1
3666,AAQ381,AAQ408,3.2.2.1.2.2.2.1,3
3665,AAQ408,AAQ410,3.2.2.1.2.2.2.1,2
3702,AAQ412,AAQ413,3.2.2.1.2.2.2.2.1,1
3598,AAQ415,AAQ413,3.2.2.1.2.2.2.2.2,1
3669,AAQ413,AAQ414,3.2.2.1.2.2.2.2,2
3670,AAQ416,AAQ415,3.2.2.1.2.2.2.2.2,2
3645,AAQ419,AAQ420,3.2.2.1.2.1.1.2.2.1.2,4
3704,AAQ400,AAQ424,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.1.1,1
3595,AAQ423,AAQ424,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.1.2,1
3644,AAQ420,AAQ427,3.2.2.1.2.1.1.2.2.1.2,3
3643,AAQ427,AAQ428,3.2.2.1.2.1.1.2.2.1.2,2
3646,AAQ356,AAQ429,3.2.2.1.2.1.1.2.2.1.1,1
3596,AAQ428,AAQ429,3.2.2.1.2.1.1.2.2.1.2,1
3597,AAQ429,AAQ430,3.2.2.1.2.1.1.2.2.1,8
3641,AAQ397,AAQ431,3.2.2.1.2.1.1.2.2.3.1.2.2.2.1.2.2.2.1.2,2
